1300.3194888178914, 1371.0281731048503
1800, 1848.8672669183848
1539.297124600639, 1599.6587278536158
1699.0415335463258, 1752.8390938135344
1400, 1464.7763578274757
1214.6964856230034, 1288.723496950334
1256.8690095846646, 1329.8722044728431
1352.7156549520769, 1421.325878594249
1466.4536741214058, 1528.7902991577112
1614.6964856230034, 1670.5416787685156
1642.811501597444, 1697.9741504501885
1746.3258785942494, 1796.2895730467612
1852.3961661341855, 1899.1649724077838
1921.4057507987222, 1963.1934359570141
1967.41214057508, 2008.9093813534705
1575.0798722044728, 1633.9529480104557
1498.4025559105432, 1558.517281440604
1430.6709265175718, 1494.4960790008713
1894.5686900958467, 1938.0409526575659
